Report_Date,Case ID,Source,Event Type,Portfolio,OneCode,Location,ClientName,Scheme,Team Name,Process Name,Process Group,Current Outsourcing Team,Onshore/Offshore,Scan+2,Site,Manual/RPA,Critical,Forthcoming Event,Operational Location,Current Activity User,Consented/Non consented,Mercer Consented,Vulnerable Customer,Start Date,Create Date,Data Type,Target Date,End Date,Within SLA,No of Days,Days to Target,Pend Case,No of days in pend,Regulatory Date (disclosure),Pend Reason
15-01-2025,baa4b71a-dd24-47ac-b78e-edb3693dffbc,Portal,Request,Equity,Zgp-01065,Mumbai,Lee Group,Devolved interactive contingency,Team B,Approval,Group 2,Team Z,Offshore,16-01-2025,Sydney,Manual,No,Yes,London,steven17,Non consented,Yes,Yes,14-01-2025,14-01-2025,Complaint,17-01-2025,15-01-2025,Within SLA,1,,No,0,16-01-2025,
15-01-2025,8ce21ea3-db20-456e-9c81-5fe7ceda8bbb,Portal,Follow-up,Debt,Wpk-10801,New York,Tucker-Lewis,Open-architected analyzing concept,Team A,Audit,Group 2,Team X,Onshore,15-01-2025,Mumbai,Manual,No,Yes,Singapore,ysmith,Non consented,Yes,Yes,12-01-2025,13-01-2025,Transaction,17-01-2025,,Within SLA,2,2,Yes,2,18-01-2025,Client Response
15-01-2025,c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,Phone,Follow-up,Equity,jms-74687,New York,Novak PLC,User-centric needs-based approach,Team B,Processing,Group 1,Team Y,Onshore,15-01-2025,London,Manual,No,No,Sydney,brian97,Consented,Yes,Yes,12-01-2025,13-01-2025,Transaction,21-01-2025,15-01-2025,Within SLA,2,,No,0,18-01-2025,
15-01-2025,87f7e1fb-da4b-49ca-ab5c-f46780bacd64,Phone,Closure,Equity,eMe-20812,New York,"Hensley, Powell and David",Re-contextualized dynamic paradigm,Team B,Validation,Group 2,Team X,Onshore,16-01-2025,Singapore,RPA,No,Yes,London,harveyrobert,Consented,Yes,No,14-01-2025,14-01-2025,Query,20-01-2025,,Within SLA,1,5,No,0,18-01-2025,
15-01-2025,50fd9d3f-85d5-4695-90b2-b633956b8c0c,Portal,Request,Equity,ziQ-43534,Mumbai,"Evans, Stewart and Walton",Compatible 24/7 knowledgebase,Team A,Processing,Group 1,Team X,Offshore,16-01-2025,Mumbai,RPA,No,Yes,Singapore,jonesjason,Consented,No,Yes,14-01-2025,14-01-2025,Complaint,21-01-2025,,Within SLA,1,6,No,0,18-01-2025,
15-01-2025,5958a499-eeea-463e-a1e8-ac6843e42caf,Email,Closure,Hybrid,CIT-13542,Mumbai,Carr-Archer,Streamlined multi-tasking access,Team C,Validation,Group 2,Team Z,Offshore,16-01-2025,Singapore,RPA,No,No,Sydney,sarah12,Consented,Yes,No,14-01-2025,14-01-2025,Complaint,23-01-2025,15-01-2025,Within SLA,1,,No,0,17-01-2025,
15-01-2025,1b66b5a9-e3c4-4657-9d8c-bbac43b409ef,Email,Closure,Debt,nTv-82449,London,Watts LLC,Profit-focused mobile extranet,Team B,Processing,Group 2,Team Y,Offshore,16-01-2025,London,RPA,Yes,Yes,Mumbai,davisrodney,Non consented,Yes,Yes,13-01-2025,14-01-2025,Complaint,22-01-2025,,Within SLA,2,7,No,0,18-01-2025,
15-01-2025,5563f616-00e8-4ece-8b49-452d46d483f3,Email,Follow-up,Debt,TBJ-24278,Sydney,Rodriguez Ltd,Distributed needs-based alliance,Team A,Audit,Group 2,Team Y,Onshore,16-01-2025,London,Manual,Yes,No,London,brandi26,Consented,No,Yes,13-01-2025,14-01-2025,Complaint,17-01-2025,15-01-2025,Within SLA,2,,Yes,1,17-01-2025,Client Response
15-01-2025,5d59cd2a-4eea-44e7-8ab5-4bde20a04502,Portal,Follow-up,Hybrid,wXJ-05331,Sydney,Dickson-Brady,Front-line cohesive website,Team B,Audit,Group 1,Team Z,Offshore,17-01-2025,Singapore,RPA,Yes,No,Sydney,nicolejohnson,Non consented,Yes,No,15-01-2025,15-01-2025,Query,23-01-2025,15-01-2025,Within SLA,0,,No,0,18-01-2025,
15-01-2025,c84a7b28-550a-4b46-acab-3301bc8f7d29,Email,Change,Equity,ycE-63421,London,Gonzalez Group,Monitored fault-tolerant utilization,Team B,Approval,Group 1,Team X,Offshore,17-01-2025,Singapore,RPA,No,No,New York,jeffreykeller,Consented,No,No,13-01-2025,15-01-2025,Complaint,17-01-2025,,Within SLA,2,2,No,0,17-01-2025,
15-01-2025,dd463c09-4752-47aa-9408-f9ac6601ddd0,Portal,Closure,Debt,RIv-14586,Singapore,Wilson LLC,Enhanced optimal firmware,Team C,Approval,Group 2,Team X,Offshore,15-01-2025,Singapore,RPA,Yes,No,Mumbai,rodriguezryan,Non consented,Yes,No,13-01-2025,13-01-2025,Transaction,22-01-2025,,Within SLA,2,7,No,0,16-01-2025,
15-01-2025,6fb78271-504d-481f-8953-5b63ba81edd9,Phone,Request,Debt,mqc-98169,Singapore,"Graham, Meyer and Drake",Synergized uniform support,Team B,Approval,Group 2,Team Y,Offshore,15-01-2025,Singapore,RPA,No,No,New York,michaeljones,Non consented,Yes,Yes,13-01-2025,13-01-2025,Query,21-01-2025,15-01-2025,Within SLA,2,,Yes,1,17-01-2025,Client Response
15-01-2025,9f871ce7-5487-4d4f-abb7-a385aa0b7b14,Phone,Change,Equity,QAu-51484,Singapore,Terry-Spencer,Ergonomic intangible secured line,Team C,Validation,Group 1,Team Y,Offshore,17-01-2025,Mumbai,Manual,Yes,Yes,Mumbai,lbyrd,Consented,Yes,No,15-01-2025,15-01-2025,Complaint,20-01-2025,15-01-2025,Within SLA,0,,Yes,1,16-01-2025,Client Response
15-01-2025,67f48ad5-4d0b-4d1a-91b0-e1d99d9262af,Portal,Request,Hybrid,BYL-80443,New York,"Pena, Marshall and Ramos",Extended multimedia leverage,Team B,Audit,Group 2,Team X,Offshore,15-01-2025,New York,RPA,No,Yes,Singapore,donnacampbell,Non consented,No,Yes,10-01-2025,13-01-2025,Query,20-01-2025,15-01-2025,Within SLA,3,,Yes,2,18-01-2025,Awaiting Docs
15-01-2025,55cee5db-9e87-404c-a208-6977a9f25336,Portal,Closure,Equity,jbc-13433,New York,Riggs PLC,Visionary asynchronous knowledgebase,Team B,Audit,Group 1,Team Y,Offshore,17-01-2025,Mumbai,Manual,No,No,London,kmercado,Non consented,Yes,No,13-01-2025,15-01-2025,Query,22-01-2025,,Within SLA,2,7,No,0,17-01-2025,
15-01-2025,624c69b6-b244-45a7-b7e5-848131c681ec,Paper,Follow-up,Hybrid,WXg-76320,London,Robinson-Brock,Total multi-state Local Area Network,Team C,Audit,Group 2,Team Y,Onshore,16-01-2025,New York,RPA,Yes,No,London,grantsamantha,Non consented,No,No,12-01-2025,14-01-2025,Complaint,21-01-2025,,Within SLA,2,6,Yes,1,16-01-2025,Awaiting Docs
15-01-2025,cd29a36f-2222-42e1-b4da-aebf1f115b76,Paper,Closure,Debt,WCN-78895,Mumbai,"Mcclain, Simmons and Meadows",Organized cohesive synergy,Team A,Validation,Group 1,Team Y,Onshore,15-01-2025,Sydney,Manual,Yes,Yes,Singapore,wcole,Non consented,No,Yes,11-01-2025,13-01-2025,Transaction,20-01-2025,,Within SLA,2,5,No,0,18-01-2025,
15-01-2025,46fde062-a33d-47af-9701-410d3f4b1a70,Phone,Closure,Equity,eTs-87347,New York,Nelson LLC,Quality-focused attitude-oriented challenge,Team C,Processing,Group 1,Team Z,Offshore,16-01-2025,New York,Manual,No,No,Singapore,jessebenson,Non consented,No,Yes,13-01-2025,14-01-2025,Transaction,20-01-2025,15-01-2025,Within SLA,2,,No,0,16-01-2025,
15-01-2025,6a34c854-1071-4d51-b6c5-9dacb4d7e28e,Email,Request,Equity,dnA-65876,London,Stein-Silva,Total 3rdgeneration task-force,Team C,Processing,Group 1,Team X,Onshore,16-01-2025,Sydney,RPA,Yes,No,Singapore,wwoods,Non consented,No,No,11-01-2025,14-01-2025,Query,15-01-2025,15-01-2025,Within SLA,2,,No,0,17-01-2025,
15-01-2025,da7b9095-63d6-4a39-80e3-befd4c71e0fe,Email,Change,Equity,For-68893,London,Tucker-Price,Synchronized systematic website,Team C,Validation,Group 1,Team X,Offshore,15-01-2025,Singapore,RPA,No,Yes,London,dramsey,Non consented,No,No,13-01-2025,13-01-2025,Transaction,22-01-2025,15-01-2025,Within SLA,2,,Yes,1,18-01-2025,System Issue
15-01-2025,9f4c3b79-fb10-487f-a0ac-3703eb67146a,Phone,Change,Debt,Qbf-80699,London,"Patterson, Camacho and White",Fundamental homogeneous Graphic Interface,Team A,Validation,Group 1,Team Y,Offshore,15-01-2025,Singapore,Manual,No,No,Singapore,shawnrogers,Non consented,No,No,12-01-2025,13-01-2025,Transaction,17-01-2025,15-01-2025,Within SLA,2,,No,0,16-01-2025,
15-01-2025,c083b73a-473b-4358-a10e-6a64e1301617,Email,Change,Hybrid,VId-64170,Sydney,Walker-Jones,Streamlined 6thgeneration system engine,Team C,Validation,Group 2,Team Z,Onshore,15-01-2025,London,RPA,No,No,London,herringjames,Non consented,No,Yes,13-01-2025,13-01-2025,Query,21-01-2025,,Within SLA,2,6,No,0,16-01-2025,
15-01-2025,3d114802-2702-478b-9f0f-da8d05379ff6,Paper,Closure,Hybrid,DSq-27193,Singapore,Jackson-Lawson,User-friendly transitional budgetary management,Team C,Validation,Group 2,Team X,Offshore,16-01-2025,Mumbai,RPA,Yes,No,Sydney,tamirodriguez,Consented,No,No,11-01-2025,14-01-2025,Transaction,17-01-2025,,Within SLA,2,2,Yes,1,17-01-2025,System Issue
15-01-2025,93676a02-4fdc-4e1b-adcb-8cb60692dc63,Phone,Closure,Hybrid,SOp-66319,London,Terry LLC,Synergized radical workforce,Team B,Audit,Group 2,Team X,Onshore,17-01-2025,Sydney,Manual,Yes,No,Sydney,hoganashlee,Consented,No,Yes,13-01-2025,15-01-2025,Transaction,22-01-2025,,Within SLA,2,7,No,0,16-01-2025,
15-01-2025,6daa2e68-8861-4e18-98e2-58880a8381be,Portal,Closure,Debt,AFg-51850,Singapore,Yu-Reid,Persevering tertiary collaboration,Team B,Approval,Group 2,Team Z,Onshore,17-01-2025,Singapore,Manual,Yes,Yes,Mumbai,hthompson,Non consented,No,No,12-01-2025,15-01-2025,Transaction,15-01-2025,15-01-2025,Within SLA,2,,No,0,18-01-2025,
15-01-2025,9dac6e83-4524-4ea6-a684-6099f7294951,Portal,Follow-up,Debt,rup-87769,Mumbai,Ramirez Group,Fully-configurable web-enabled Local Area Network,Team A,Approval,Group 2,Team X,Offshore,16-01-2025,New York,RPA,No,No,Singapore,frogers,Consented,No,Yes,12-01-2025,14-01-2025,Transaction,21-01-2025,,Within SLA,2,6,Yes,2,17-01-2025,Other
15-01-2025,7cd0129d-2e8d-4e87-9334-20e6d9d80b8d,Phone,Follow-up,Hybrid,MSr-35454,London,"Smith, Vaughan and Miller",Up-sized incremental matrix,Team A,Audit,Group 2,Team Y,Offshore,15-01-2025,New York,RPA,No,No,Singapore,hannahbrewer,Consented,Yes,Yes,11-01-2025,13-01-2025,Complaint,15-01-2025,,Within SLA,2,0,Yes,3,16-01-2025,Other
15-01-2025,046a0df5-cafd-4613-b2bb-912d7da67785,Email,Follow-up,Equity,tQL-14363,Mumbai,Kennedy-Schmidt,Optimized value-added neural-net,Team A,Validation,Group 2,Team X,Offshore,15-01-2025,Mumbai,RPA,No,Yes,London,michael74,Non consented,Yes,Yes,11-01-2025,13-01-2025,Transaction,16-01-2025,15-01-2025,Within SLA,2,,No,0,16-01-2025,
15-01-2025,1ee34dc4-3b04-4a8b-805b-fdc94e7ed827,Phone,Change,Debt,mnV-35182,Mumbai,Hill-Lawrence,Virtual multi-tasking policy,Team B,Processing,Group 1,Team Y,Offshore,17-01-2025,Sydney,Manual,Yes,No,Mumbai,tina34,Non consented,No,No,12-01-2025,15-01-2025,Query,21-01-2025,15-01-2025,Within SLA,2,,No,0,18-01-2025,
15-01-2025,4d6168bd-2def-4193-9c62-b3a23a3c563e,Portal,Closure,Hybrid,dJs-08240,Mumbai,"Raymond, Little and Mullins",Customer-focused 24/7 orchestration,Team A,Audit,Group 2,Team X,Onshore,16-01-2025,Sydney,RPA,No,Yes,Sydney,taylor75,Non consented,Yes,Yes,13-01-2025,14-01-2025,Complaint,21-01-2025,,Within SLA,2,6,Yes,1,18-01-2025,Other
15-01-2025,40a26c60-0d27-4659-b72a-da9b2f32751e,Email,Closure,Hybrid,eKO-71167,London,"Brown, Hernandez and Hart",Innovative attitude-oriented encryption,Team A,Processing,Group 2,Team Z,Offshore,16-01-2025,London,Manual,Yes,No,Sydney,grantrobert,Non consented,Yes,No,13-01-2025,14-01-2025,Query,16-01-2025,15-01-2025,Within SLA,2,,No,0,17-01-2025,
15-01-2025,39c6a1ca-9e50-4a42-8a6d-fda1989bc4da,Paper,Closure,Equity,LBt-86774,Singapore,"Oliver, Lynch and Singh",Virtual demand-driven product,Team A,Processing,Group 1,Team Y,Offshore,16-01-2025,Mumbai,RPA,No,Yes,London,josephmiller,Non consented,Yes,No,12-01-2025,14-01-2025,Complaint,15-01-2025,,Within SLA,2,0,Yes,1,18-01-2025,Client Response
15-01-2025,1337739e-8d4f-4d27-ac7f-0b793d67cde9,Phone,Request,Equity,Esc-20679,Mumbai,Roberts LLC,Total logistical archive,Team B,Validation,Group 1,Team X,Onshore,17-01-2025,Singapore,RPA,No,No,Sydney,sandrafrench,Consented,No,Yes,15-01-2025,15-01-2025,Query,23-01-2025,,Within SLA,0,8,No,0,16-01-2025,
15-01-2025,cdccc33a-a943-4aa0-96fc-734da003cd28,Paper,Follow-up,Equity,Pjr-36183,Mumbai,Jones and Sons,Integrated radical synergy,Team A,Processing,Group 2,Team X,Offshore,15-01-2025,Mumbai,Manual,Yes,No,New York,scott74,Consented,Yes,Yes,10-01-2025,13-01-2025,Query,17-01-2025,15-01-2025,Within SLA,3,,No,0,16-01-2025,
15-01-2025,45b1ed25-f153-4ae8-a70a-cc5cb321bf21,Phone,Change,Debt,McB-88771,London,"Morris, Wright and Davis",Synergistic object-oriented parallelism,Team C,Validation,Group 2,Team X,Onshore,17-01-2025,Sydney,RPA,Yes,Yes,New York,keyemily,Consented,Yes,No,14-01-2025,15-01-2025,Transaction,23-01-2025,15-01-2025,Within SLA,1,,Yes,1,18-01-2025,Client Response
15-01-2025,c35b1c8c-0a4c-4f7f-9384-ec2b44feacae,Phone,Follow-up,Hybrid,lLB-27874,New York,"Olsen, Costa and Harrison",Open-source full-range Graphic Interface,Team C,Validation,Group 2,Team Y,Offshore,15-01-2025,Sydney,Manual,No,Yes,Sydney,hodgemark,Consented,No,No,11-01-2025,13-01-2025,Complaint,15-01-2025,15-01-2025,Within SLA,2,,No,0,16-01-2025,
15-01-2025,a99f1318-49c8-443f-bed7-0ed7b194990b,Email,Follow-up,Hybrid,uqu-68071,Singapore,Cordova Group,Profound 24hour protocol,Team A,Validation,Group 2,Team Z,Onshore,17-01-2025,New York,Manual,No,No,Singapore,mgutierrez,Non consented,No,No,15-01-2025,15-01-2025,Transaction,23-01-2025,,Within SLA,0,8,No,0,18-01-2025,
15-01-2025,c1a6423b-9f64-4eed-9c9d-927d84b871bb,Phone,Follow-up,Debt,Jis-77034,Singapore,Gilmore-Washington,Assimilated responsive portal,Team B,Audit,Group 1,Team Y,Offshore,15-01-2025,Mumbai,RPA,No,Yes,Singapore,jennifercollins,Consented,Yes,Yes,13-01-2025,13-01-2025,Transaction,22-01-2025,15-01-2025,Within SLA,2,,No,0,17-01-2025,
15-01-2025,17dc8eff-6872-43f9-8d60-593603802b70,Email,Follow-up,Debt,FTs-31712,Singapore,"Thornton, Perry and Olson",Phased dynamic knowledgebase,Team C,Validation,Group 2,Team Z,Offshore,16-01-2025,Mumbai,Manual,Yes,Yes,Singapore,patrickweeks,Consented,Yes,No,14-01-2025,14-01-2025,Complaint,21-01-2025,15-01-2025,Within SLA,1,,Yes,1,18-01-2025,System Issue
15-01-2025,22f235f2-e11b-468d-bf0d-073d821c1336,Email,Closure,Equity,ras-14658,London,"Evans, Matthews and Duarte",Pre-emptive coherent knowledge user,Team B,Processing,Group 2,Team Y,Onshore,16-01-2025,London,Manual,No,Yes,London,jreed,Consented,Yes,Yes,14-01-2025,14-01-2025,Query,21-01-2025,15-01-2025,Within SLA,1,,No,0,18-01-2025,
15-01-2025,749176f4-6090-4697-8b1e-3b9dc34b9fbb,Portal,Request,Equity,oXA-53396,London,Flores Group,Triple-buffered homogeneous info-mediaries,Team A,Validation,Group 1,Team Y,Offshore,16-01-2025,Singapore,RPA,No,No,Mumbai,tylerjohnson,Consented,Yes,No,11-01-2025,14-01-2025,Query,17-01-2025,15-01-2025,Within SLA,2,,No,0,17-01-2025,
15-01-2025,54fd9ad3-9716-408e-b721-69bb80962718,Phone,Follow-up,Hybrid,aUj-17187,New York,Pitts-Booker,Compatible methodical toolset,Team A,Approval,Group 2,Team X,Onshore,17-01-2025,Mumbai,RPA,No,Yes,New York,matthew61,Non consented,No,Yes,13-01-2025,15-01-2025,Transaction,22-01-2025,,Within SLA,2,7,No,0,16-01-2025,
15-01-2025,aca2b148-da33-4aa1-941c-dfcdda0d4a5f,Email,Follow-up,Equity,cNe-86578,Mumbai,Welch LLC,Focused value-added array,Team C,Audit,Group 2,Team Z,Offshore,16-01-2025,Mumbai,Manual,No,Yes,Mumbai,wgood,Consented,No,No,13-01-2025,14-01-2025,Transaction,22-01-2025,,Within SLA,2,7,Yes,1,17-01-2025,Awaiting Docs
15-01-2025,19bad7ae-df61-4a5c-b432-3070a23d4c2f,Email,Follow-up,Debt,uYd-72400,Mumbai,Howard-Jordan,Fully-configurable multi-tasking installation,Team A,Processing,Group 1,Team X,Onshore,16-01-2025,Sydney,Manual,No,No,London,georgemiller,Consented,Yes,Yes,14-01-2025,14-01-2025,Query,20-01-2025,,Within SLA,1,5,No,0,18-01-2025,
15-01-2025,aee1e86b-9ea5-46aa-a1ee-6c5bdeef580f,Paper,Follow-up,Hybrid,DOq-37923,Sydney,Scott-Smith,Persistent executive service-desk,Team B,Processing,Group 2,Team X,Offshore,17-01-2025,New York,RPA,No,No,Mumbai,charleslandry,Consented,No,Yes,14-01-2025,15-01-2025,Query,23-01-2025,15-01-2025,Within SLA,1,,Yes,1,18-01-2025,Client Response
15-01-2025,a3917c99-4c95-4f6a-966b-1964fcd6bdca,Email,Request,Hybrid,yEg-64743,Sydney,James LLC,Re-engineered explicit standardization,Team C,Audit,Group 2,Team Z,Onshore,16-01-2025,Singapore,Manual,No,No,Sydney,andrew64,Consented,Yes,No,11-01-2025,14-01-2025,Transaction,15-01-2025,15-01-2025,Within SLA,2,,No,0,17-01-2025,
15-01-2025,af908e3c-dd75-4e98-90e0-b95f0212b554,Paper,Follow-up,Hybrid,MZw-09743,Sydney,Fields PLC,Function-based systematic system engine,Team C,Approval,Group 2,Team Y,Offshore,16-01-2025,Singapore,RPA,No,Yes,Mumbai,courtneyberger,Consented,No,Yes,14-01-2025,14-01-2025,Complaint,23-01-2025,15-01-2025,Within SLA,1,,Yes,1,18-01-2025,Client Response
15-01-2025,c9e26074-4f16-49a0-8a17-991ea5769411,Phone,Closure,Debt,fsu-70952,Singapore,"Perry, Gonzalez and Buchanan",Multi-lateral multi-tasking middleware,Team A,Validation,Group 2,Team Z,Offshore,15-01-2025,Mumbai,Manual,Yes,No,Sydney,maria47,Non consented,Yes,No,10-01-2025,13-01-2025,Query,17-01-2025,,Within SLA,3,2,Yes,3,18-01-2025,Awaiting Docs
15-01-2025,bf1e8366-4b8e-43d4-8e76-07adf7a67b94,Phone,Request,Debt,WoR-51712,New York,"Craig, Sanders and Singleton",Realigned high-level array,Team C,Validation,Group 2,Team Z,Onshore,17-01-2025,Sydney,RPA,Yes,Yes,London,ismith,Consented,No,Yes,14-01-2025,15-01-2025,Query,21-01-2025,,Within SLA,1,6,Yes,1,16-01-2025,Client Response
15-01-2025,ac3e7b0d-5e5b-413d-b46c-db771fa382e8,Phone,Closure,Debt,RoE-49651,London,Harvey PLC,Inverse reciprocal definition,Team B,Audit,Group 2,Team Y,Offshore,16-01-2025,Sydney,RPA,Yes,Yes,Sydney,reidsteven,Consented,No,Yes,13-01-2025,14-01-2025,Complaint,21-01-2025,,Within SLA,2,6,No,0,16-01-2025,
15-01-2025,688613db-a634-4e78-8d5c-55c7b379cb1e,Portal,Follow-up,Hybrid,Fhg-12004,London,Clay and Sons,Networked logistical hub,Team B,Validation,Group 1,Team Y,Offshore,16-01-2025,New York,RPA,Yes,No,Sydney,umatthews,Non consented,Yes,No,12-01-2025,14-01-2025,Transaction,21-01-2025,15-01-2025,Within SLA,2,,Yes,2,16-01-2025,Awaiting Docs
15-01-2025,a7a8f636-6a35-4f59-a2aa-7a5d278ed00d,Email,Closure,Debt,cSx-17964,London,Ramos and Sons,Multi-lateral bandwidth-monitored software,Team C,Audit,Group 2,Team Z,Onshore,16-01-2025,New York,Manual,No,Yes,London,amy50,Non consented,Yes,No,13-01-2025,14-01-2025,Transaction,16-01-2025,,Within SLA,2,1,Yes,1,16-01-2025,Client Response
15-01-2025,f7dc67e0-3097-4b2b-86a0-2a9b65ec7acd,Paper,Request,Equity,bdY-17139,Singapore,Sanchez-Martinez,Re-contextualized demand-driven architecture,Team C,Validation,Group 1,Team Z,Onshore,16-01-2025,Mumbai,RPA,Yes,No,London,brendali,Non consented,Yes,Yes,14-01-2025,14-01-2025,Complaint,17-01-2025,15-01-2025,Within SLA,1,,No,0,18-01-2025,
15-01-2025,25c61c45-c63d-44ee-941c-7a863ba5cd2f,Email,Follow-up,Debt,IqZ-90422,Mumbai,Rodriguez Inc,De-engineered 24/7 help-desk,Team C,Validation,Group 2,Team X,Offshore,16-01-2025,London,Manual,No,Yes,New York,briannasmith,Non consented,No,Yes,14-01-2025,14-01-2025,Complaint,23-01-2025,15-01-2025,Within SLA,1,,No,0,17-01-2025,
15-01-2025,bde13c1b-2073-4f6d-8d6a-05b343ef2016,Portal,Change,Equity,CXx-68117,London,"Wheeler, Hayes and Walker",Seamless 6thgeneration superstructure,Team A,Processing,Group 2,Team Z,Offshore,16-01-2025,Sydney,RPA,No,Yes,London,stephen00,Non consented,No,Yes,11-01-2025,14-01-2025,Complaint,16-01-2025,15-01-2025,Within SLA,2,,Yes,3,16-01-2025,Other
